Time,Te,T0,Tmean0,uh0,uc0,qS0,quh0,T1,Tmean1,uh1,uc1,qS1,quh1,T2,Tmean2,uh2,uc2,qS2,quh2,T3,Tmean3,uh3,uc3,qS3,quh3,T4,Tmean4,uh4,uc4,qS4,quh4,T5,Tmean5,uh5,uc5,qS5,quh5,T6,Tmean6,uh6,uc6,qS6,quh6,T7,Tmean7,uh7,uc7,qS7,quh7,T8,Tmean8,uh8,uc8,qS8,quh8,T9,Tmean9,uh9,uc9,qS9,quh9,T10,Tmean10,uh10,uc10,qS10,quh10,T11,Tmean11,uh11,uc11,qS11,quh11
 03/26  14:00:00,13.66800002,23.30672882,23.30672882,0,0,646.9427326,0,25.64627272,25.64627272,0,26,187.3898204,0,23.94778594,23.94778594,0,26,646.9427326,0,26,26,20,26,182.7389456,-11.60557035,25.40149141,25.40149141,0,26,646.9427326,0,25.59099496,25.59099496,0,26,166.6220538,0,24.39681639,24.39681639,20,26,646.9427326,0,22.87123897,22.87123897,20,26,0,0,22.12714406,22.12714406,0,26,171.7191421,0,28.98407614,28.98407614,0,0,989.9657055,0,26,26,20,26,1979.931411,-916.3510687,23.52873068,23.52873068,20,26,0,0
 03/26  15:00:00,14.83050002,24.7428749,24.7428749,0,0,824.0819382,0,25.73061586,25.73061586,0,26,173.8385375,0,25.33171011,25.33171011,0,26,824.0819382,0,26,26,20,26,169.2498194,-18.51059136,25.99981027,25.99981027,0,26,824.0819382,-93.12573357,25.62633777,25.62633777,0,26,153.1949897,0,25.71953662,25.71953662,20,26,824.0819382,-17.87221486,23.02826359,23.02826359,20,26,0,0,22.44834359,22.44834359,0,26,158.3645235,0,30.00373685,30.00373685,0,0,852.6232561,0,26,26,20,26,1705.246512,-1075.536463,23.7631102,23.7631102,20,26,0,0
 03/26  16:00:00,15.96800002,26.12937733,26.12937733,0,0,857.7127823,0,25.81906541,25.81906541,0,26,151.8225232,0,25.99984275,25.99984275,0,26,857.7127823,-99.8908758,26,26,20,26,147.6490352,-22.55672709,26,26,0,26,857.7127823,-252.3694049,25.67449085,25.67449085,0,26,132.5916584,0,25.9999986,25.9999986,20,26,857.7127823,-174.8198701,23.1964512,23.1964512,20,26,0,0,22.74574467,22.74574467,0,26,137.7108307,0,30.67074597,30.67074597,0,0,644.3937596,0,26,26,20,26,1288.787519,-1079.081276,24.02401475,24.02401475,20,26,0,0
 03/26  17:00:00,16.06800002,27.0783734,27.0783734,0,0,697.8670589,0,25.78649455,25.78649455,0,26,113.073793,0,26,26,0,26,697.8670589,-210.590561,26,26,20,26,110.1424384,-10.7680106,26,26,0,26,697.8670589,-343.5513209,25.61613828,25.61613828,0,26,98.78991615,0,26,26,20,26,697.8670589,-283.9719636,23.31151414,23.31151414,20,26,0,0,22.89449388,22.89449388,0,26,103.0974295,0,30.82725302,30.82725302,0,0,375.0135376,0,26,26,20,26,750.0270751,-892.1787985,24.24486369,24.24486369,20,26,0,0
 03/26  18:00:00,15.63050002,27.19963892,27.19963892,0,0,346.6956815,0,25.60022748,25.60022748,0,26,59.38301483,0,26,26,0,26,346.6956815,-189.7929592,25.89899503,25.89899503,20,26,58.03881462,0,26,26,0,26,346.6956815,-299.7456902,25.42066412,25.42066412,0,26,52.22458589,0,26,26,20,26,346.6956815,-249.010191,23.3689188,23.3689188,20,26,0,0,22.86245301,22.86245301,0,26,54.75760139,0,30.49188698,30.49188698,0,0,111.8670579,0,26,26,20,26,223.7341158,-594.5301328,24.39783663,24.39783663,20,26,0,0
 03/26  19:00:00,15.16800002,26.78608525,26.78608525,0,0,37.26307366,0,25.31499857,25.31499857,0,26,8.078342597,0,26,26,0,26,37.26307366,-96.22846719,25.61975982,25.61975982,20,26,7.926929417,0,26,26,0,26,37.26307366,-188.7453298,25.14612264,25.14612264,0,26,7.186323162,0,26,26,20,26,37.26307366,-141.6835652,23.40930323,23.40930323,20,26,0,0,22.72335242,22.72335242,0,26,7.550193627,0,30.01934225,30.01934225,0,0,8.451985377,0,26,26,20,26,16.90397075,-353.2677971,24.50753784,24.50753784,20,26,0,0
 03/26  20:00:00,14.54300002,26.34361295,26.34361295,0,0,0,0,24.99387079,24.99387079,0,26,0,0,26,26,0,26,0,-31.27983633,25.30409491,25.30409491,20,26,0,0,26,26,0,26,0,-114.7370158,24.84693411,24.84693411,0,26,0,0,26,26,20,26,0,-67.81805282,23.41534295,23.41534295,20,26,0,0,22.53299062,22.53299062,0,26,0,0,29.53081799,29.53081799,0,0,0,0,26,26,20,26,0,-182.2874511,24.5518256,24.5518256,20,26,0,0
 03/26  21:00:00,13.90550002,25.94467093,25.94467093,0,0,0,0,24.66949268,24.66949268,0,26,0,0,25.91183308,25.91183308,0,26,0,-0.663680879,24.99058925,24.99058925,20,26,0,0,26,26,0,26,0,-67.22819736,24.55473068,24.55473068,0,26,0,0,26,26,20,26,0,-18.73578385,23.39133056,23.39133056,20,26,0,0,22.33109083,22.33109083,0,26,0,0,29.00751995,29.00751995,0,0,0,0,26,26,20,26,0,-49.66609764,24.54608868,24.54608868,20,26,0,0
 03/26  22:00:00,13.24300002,25.53144321,25.53144321,0,0,0,0,24.33227372,24.33227372,0,26,0,0,25.59858341,25.59858341,0,26,0,0,24.67106661,24.67106661,20,26,0,0,26,26,0,26,0,-30.88369175,24.26061188,24.26061188,0,26,0,0,25.84556309,25.84556309,20,26,0,0,23.34827092,23.34827092,20,26,0,0,22.11776198,22.11776198,0,26,0,0,28.45246715,28.45246715,0,0,0,0,25.78739882,25.78739882,20,26,0,0,24.50081193,24.50081193,20,26,0,0
 03/26  23:00:00,12.79300002,25.12554705,25.12554705,0,0,0,0,24.00184831,24.00184831,0,26,0,0,25.26617538,25.26617538,0,26,0,0,24.36275238,24.36275238,20,26,0,0,25.99214291,25.99214291,0,26,0,-5.88764517,23.98065452,23.98065452,0,26,0,0,25.54522767,25.54522767,20,26,0,0,23.29811869,23.29811869,20,26,0,0,21.91139563,21.91139563,0,26,0,0,27.89974018,27.89974018,0,0,0,0,25.39950866,25.39950866,20,26,0,0,24.44311046,24.44311046,20,26,0,0
 03/26  24:00:00,12.43050002,24.72697215,24.72697215,0,0,0,0,23.67621219,23.67621219,0,26,0,0,24.93257817,24.93257817,0,26,0,0,24.06118686,24.06118686,20,26,0,0,25.80344263,25.80344263,0,26,0,0,23.71021097,23.71021097,0,26,0,0,25.23199029,25.23199029,20,26,0,0,23.25306118,23.25306118,20,26,0,0,21.70517838,21.70517838,0,26,0,0,27.35360451,27.35360451,0,0,0,0,25.00840042,25.00840042,20,26,0,0,24.37782534,24.37782534,20,26,0,0
 03/27  01:00:00,12.09300002,24.33153495,24.33153495,0,0,0,0,23.3482716,23.3482716,20,26,0,0,24.59672816,24.59672816,0,26,0,0,23.75950397,23.75950397,0,26,0,0,25.52918055,25.52918055,0,26,0,0,23.44121845,23.44121845,0,26,0,0,24.91018584,24.91018584,0,26,0,0,23.20073026,23.20073026,20,26,0,0,21.49099198,21.49099198,0,26,0,0,26.81307789,26.81307789,0,0,0,0,24.61328548,24.61328548,20,26,0,0,24.29664391,24.29664391,20,26,0,0
 03/27  02:00:00,12.35550002,23.98621495,23.98621495,0,0,0,0,23.06929732,23.06929732,20,26,0,0,24.30474067,24.30474067,0,26,0,0,23.50522979,23.50522979,0,26,0,0,25.275293,25.275293,0,26,0,0,23.21928719,23.21928719,0,26,0,0,24.62678085,24.62678085,0,26,0,0,23.1804386,23.1804386,20,26,0,0,21.32617146,21.32617146,0,26,0,0,26.31799462,26.31799462,0,0,0,0,24.31506487,24.31506487,20,26,0,0,24.2348078,24.2348078,20,26,0,0
 03/27  03:00:00,12.95550002,23.70134845,23.70134845,0,0,0,0,22.85006268,22.85006268,20,26,0,0,24.06767069,24.06767069,0,26,0,0,23.30823137,23.30823137,0,26,0,0,25.05499421,25.05499421,0,26,0,0,23.05224502,23.05224502,0,26,0,0,24.39360759,24.39360759,0,26,0,0,23.19123838,23.19123838,20,26,0,0,21.21655564,21.21655564,0,26,0,0,25.88706691,25.88706691,0,0,0,0,24.12863145,24.12863145,20,26,0,0,24.19153206,24.19153206,20,26,0,0
 03/27  04:00:00,13.55550002,23.46162834,23.46162834,0,0,0,0,22.66318167,22.66318167,20,26,0,0,23.87078462,23.87078462,0,26,0,0,23.14306872,23.14306872,0,26,0,0,24.864547,24.864547,0,26,0,0,22.91715577,22.91715577,0,26,0,0,24.19787233,24.19787233,0,26,0,0,23.2085646,23.2085646,20,26,0,0,21.13602308,21.13602308,0,26,0,0,25.50437488,25.50437488,0,0,0,0,24.0003662,24.0003662,20,26,0,0,24.15020511,24.15020511,20,26,0,0
 03/27  05:00:00,13.46800002,23.19724401,23.19724401,0,0,0,0,22.44774663,22.44774663,20,26,0,0,23.64153474,23.64153474,0,26,0,0,22.94577231,22.94577231,0,26,0,0,24.64684213,24.64684213,0,26,0,0,22.75079867,22.75079867,0,26,0,0,23.967949,23.967949,0,26,0,0,23.18229096,23.18229096,20,26,0,0,21.02085394,21.02085394,0,26,0,0,25.10931535,25.10931535,0,0,0,0,23.78540906,23.78540906,20,26,0,0,24.06765256,24.06765256,20,26,0,0
