Time,T0,u0,Te0,T1,u1,Te1,T2,u2,Te2,T3,u3,Te3,T4,u4,Te4,T5,u5,Te5,T6,u6,Te6,T7,u7,Te7,T8,u8,Te8,T9,u9,Te9,T10,u10,Te10,T11,u11,Te11
 01/02  14:00:00,16.19881344,0,11.49300002,20,20,11.49300002,16.87020082,0,11.49300002,18.58171112,0,11.49300002,18.10347936,0,11.49300002,17.42940789,0,11.49300002,17.79920892,0,11.49300002,20,20,11.49300002,16.38511278,0,11.49300002,19.38352632,0,11.49300002,22.01561507,20,11.49300002,20,20,11.49300002
 01/02  15:00:00,16.38990903,0,11.13050002,20,20,11.13050002,17.05017904,0,11.13050002,18.55169805,0,11.13050002,18.26367601,0,11.13050002,17.49634204,0,11.13050002,17.95865352,0,11.13050002,20,20,11.13050002,16.49097242,0,11.13050002,19.36771172,0,11.13050002,21.79564373,20,11.13050002,20,20,11.13050002
 01/02  16:00:00,16.37582815,0,10.79300002,20,20,10.79300002,17.02781802,0,10.79300002,18.43536965,0,10.79300002,18.22293668,0,10.79300002,17.47222834,0,10.79300002,17.92157,0,10.79300002,20,20,10.79300002,16.49862162,0,10.79300002,19.1315667,0,10.79300002,21.39190902,20,10.79300002,20,20,10.79300002
 01/02  17:00:00,16.29469225,0,10.61800002,20,20,10.61800002,16.93831398,0,10.61800002,18.28148694,0,10.61800002,18.12196939,0,10.61800002,17.40451031,0,10.61800002,17.80860367,0,10.61800002,20,20,10.61800002,16.45556886,0,10.61800002,18.87630226,0,10.61800002,21.01789481,20,10.61800002,20,20,10.61800002
 01/02  18:00:00,16.21816793,0,10.51800002,20,20,10.51800002,16.85265635,0,10.51800002,18.13386358,0,10.51800002,18.02679139,0,10.51800002,17.3361277,0,10.51800002,17.69464586,0,10.51800002,20,20,10.51800002,16.40743404,0,10.51800002,18.64617279,0,10.51800002,20.70484619,20,10.51800002,20,20,10.51800002
 01/02  19:00:00,16.15012665,0,10.41800002,20,20,10.41800002,16.7768778,0,10.41800002,18.00172573,0,10.41800002,17.94374546,0,10.41800002,17.27761813,0,10.41800002,17.5893457,0,10.41800002,20,20,10.41800002,16.36529241,0,10.41800002,18.43556854,0,10.41800002,20.43416934,20,10.41800002,20,20,10.41800002
 01/02  20:00:00,16.0620627,0,10.06800002,20,20,10.06800002,16.68204771,0,10.06800002,17.8542557,0,10.06800002,17.85042766,0,10.06800002,17.19751612,0,10.06800002,17.46282663,0,10.06800002,20,20,10.06800002,16.30174442,0,10.06800002,18.20818282,0,10.06800002,20.13083695,20,10.06800002,20,20,10.06800002
 01/02  21:00:00,15.94849852,0,9.568000018,20,20,9.568000018,16.56203482,0,9.568000018,17.68490436,0,9.568000018,17.74504153,0,9.568000018,17.08769131,0,9.568000018,17.31049582,0,9.568000018,20,20,9.568000018,16.21180727,0,9.568000018,17.95944903,0,9.568000018,20.00000044,20,9.568000018,20,20,9.568000018
 01/02  22:00:00,15.82102217,0,9.068000018,20,20,9.068000018,16.43005777,0,9.068000018,17.51289054,0,9.068000018,17.63247435,0,9.068000018,16.96601422,0,9.068000018,17.15346342,0,9.068000018,20,20,9.068000018,16.10773759,0,9.068000018,17.70918407,0,9.068000018,20,20,9.068000018,20,20,9.068000018
 01/02  23:00:00,15.67456502,0,8.505500018,20,20,8.505500018,16.28169199,0,8.505500018,17.33314679,0,8.505500018,17.50776604,0,8.505500018,16.83297827,0,8.505500018,16.98477715,0,8.505500018,20,20,8.505500018,15.98424423,0,8.505500018,17.45214967,0,8.505500018,20,20,8.505500018,20,20,8.505500018
 01/02  24:00:00,15.50929501,0,7.905500018,20,20,7.905500018,16.11894793,0,7.905500018,17.14443156,0,7.905500018,17.37000582,0,7.905500018,16.68947775,0,7.905500018,16.80282914,0,7.905500018,20,20,7.905500018,15.84175294,0,7.905500018,17.1871131,0,7.905500018,20,20,7.905500018,20,20,7.905500018
